split_seed,dataset_id,model_id,candidate_id,profile,path,evaluation_mode,validation_status,audit_status,status_transition,key_repeats,v_cert,v_amb,successful_key_runs,expected_parameter_failures,unexpected_execution_failures,decision_flips_v_cert,error_violations_v_cert,max_error_v_cert,max_budget_usage_v_cert,mean_total_ms_across_keys
3,digits_binary,linear_poly3,short_chain_3__baseline_non_rescale,short_chain_3,baseline_non_rescale,naive,REJECTED,REJECTED,REJECTED->REJECTED,3,264,6,3,0,0,384,792,0.603053342372,914.76988617,134.642284477
3,digits_binary,linear_poly3,short_chain_3__rescale_aware,short_chain_3,rescale_aware,rescale,FAILED,FAILED,FAILED->FAILED,3,264,6,0,3,0,0,0,,,
3,digits_binary,mlp_square_linear_score,short_chain_3__baseline_non_rescale,short_chain_3,baseline_non_rescale,naive,REJECTED,REJECTED,REJECTED->REJECTED,3,251,19,3,0,0,378,753,0.58259531509,966.837040744,171.276992658
3,digits_binary,mlp_square_linear_score,short_chain_3__rescale_aware,short_chain_3,rescale_aware,rescale,REJECTED,REJECTED,REJECTED->REJECTED,3,251,19,3,0,0,378,753,0.58259531509,966.837040744,137.515642284
3,iris_binary,linear_poly3,short_chain_3__baseline_non_rescale,short_chain_3,baseline_non_rescale,naive,REJECTED,REJECTED,REJECTED->REJECTED,3,16,0,3,0,0,24,48,0.64976387129,20.2452487421,107.962048708
3,iris_binary,linear_poly3,short_chain_3__rescale_aware,short_chain_3,rescale_aware,rescale,FAILED,FAILED,FAILED->FAILED,3,16,0,0,3,0,0,0,,,
3,iris_binary,mlp_square_linear_score,short_chain_3__baseline_non_rescale,short_chain_3,baseline_non_rescale,naive,REJECTED,REJECTED,REJECTED->REJECTED,3,16,0,3,0,0,24,48,0.645010822926,13.253554297,133.719969396
3,iris_binary,mlp_square_linear_score,short_chain_3__rescale_aware,short_chain_3,rescale_aware,rescale,REJECTED,REJECTED,REJECTED->REJECTED,3,16,0,3,0,0,24,48,0.645010822926,13.253554297,100.8595535
3,mnist_pool16,linear_poly3,short_chain_3__baseline_non_rescale,short_chain_3,baseline_non_rescale,naive,REJECTED,REJECTED,REJECTED->REJECTED,3,244,7,3,0,0,342,732,0.645003129209,795.932340332,209.292675201
3,mnist_pool16,linear_poly3,short_chain_3__rescale_aware,short_chain_3,rescale_aware,rescale,FAILED,FAILED,FAILED->FAILED,3,244,7,0,3,0,0,0,,,
3,mnist_pool16,mlp_square_linear_score,short_chain_3__baseline_non_rescale,short_chain_3,baseline_non_rescale,naive,REJECTED,REJECTED,REJECTED->REJECTED,3,245,6,3,0,0,357,735,0.623323941976,935.525288537,252.769270907
3,mnist_pool16,mlp_square_linear_score,short_chain_3__rescale_aware,short_chain_3,rescale_aware,rescale,REJECTED,REJECTED,REJECTED->REJECTED,3,245,6,3,0,0,357,735,0.623323941976,935.525288537,217.542333622
3,wdbc,linear_poly3,short_chain_3__baseline_non_rescale,short_chain_3,baseline_non_rescale,naive,REJECTED,REJECTED,REJECTED->REJECTED,3,85,1,3,0,0,165,255,0.581633776924,584.073154413,137.508740481
3,wdbc,linear_poly3,short_chain_3__rescale_aware,short_chain_3,rescale_aware,rescale,FAILED,FAILED,FAILED->FAILED,3,85,1,0,3,0,0,0,,,
3,wdbc,mlp_square_linear_score,short_chain_3__baseline_non_rescale,short_chain_3,baseline_non_rescale,naive,REJECTED,REJECTED,REJECTED->REJECTED,3,84,2,3,0,0,162,249,0.515519556612,717.175284553,172.373190019
3,wdbc,mlp_square_linear_score,short_chain_3__rescale_aware,short_chain_3,rescale_aware,rescale,REJECTED,REJECTED,REJECTED->REJECTED,3,84,2,3,0,0,162,249,0.515519556612,717.175284553,141.235341884
4,banknote,linear_poly3,short_chain_3__baseline_non_rescale,short_chain_3,baseline_non_rescale,naive,REJECTED,REJECTED,REJECTED->REJECTED,3,207,0,3,0,0,294,621,0.619413147824,233.904747155,97.8190398873
4,banknote,linear_poly3,short_chain_3__rescale_aware,short_chain_3,rescale_aware,rescale,FAILED,FAILED,FAILED->FAILED,3,207,0,0,3,0,0,0,,,
4,banknote,mlp_square_linear_score,short_chain_3__baseline_non_rescale,short_chain_3,baseline_non_rescale,naive,REJECTED,REJECTED,REJECTED->REJECTED,3,207,0,3,0,0,276,621,0.621243560249,79.8367238415,129.560725161
