dataset_id,model_id,profile,path,requested_runs,ok_runs,failed_runs,accepted_runs,strict_safe,mean_eval_only_ms,std_eval_only_ms,mean_total_ms,std_total_ms,max_decision_flips,sum_decision_flips,max_score_error_violations,sum_score_error_violations,max_y_error
digits_binary,linear_poly3,scale42,baseline_non_rescale,3,3,0,3,true,50.3349600315,0.1286213990,202.4704866401,0.4463211192,0,0,0,0,0.0000000001
digits_binary,linear_poly3,scale42,rescale_aware,3,3,0,3,true,50.7634351537,0.0965616163,191.3936361451,0.1640327820,0,0,0,0,0.0000000001
digits_binary,linear_poly3,short_chain_3,baseline_non_rescale,3,3,0,0,false,21.1606393494,0.0753093052,106.6584534364,0.2172971964,257,771,540,1620,0.6159805173
digits_binary,linear_poly3,short_chain_3,rescale_aware,6,0,6,0,false,,0.0000000000,,0.0000000000,,,,,
digits_binary,linear_poly3,short_chain_5,baseline_non_rescale,3,3,0,0,false,35.0639834938,0.0880516063,153.5663169031,0.3211308606,257,771,540,1620,0.6159805173
digits_binary,linear_poly3,short_chain_5,rescale_aware,6,0,6,0,false,,0.0000000000,,0.0000000000,,,,,
digits_binary,linear_poly3,short_chain_6_scale38,baseline_non_rescale,3,3,0,0,false,40.2308580747,0.1298485246,177.1963275555,0.1155991964,257,771,540,1620,0.6159670151
digits_binary,linear_poly3,short_chain_6_scale38,rescale_aware,3,3,0,0,false,39.2617130648,0.0536116096,155.9470167500,0.3042582201,257,771,540,1620,0.6159669110
digits_binary,linear_poly3,short_chain_6_scale40,baseline_non_rescale,3,3,0,0,false,40.2160997852,0.0291649936,177.0678453592,0.2113257915,257,771,540,1620,0.6159803664
digits_binary,linear_poly3,short_chain_6_scale40,rescale_aware,3,3,0,0,false,39.2326694414,0.0465078616,155.9588796537,0.0035006711,257,771,540,1620,0.6159802619
digits_binary,linear_poly3,short_chain_6_scale42,baseline_non_rescale,3,3,0,0,false,40.2392317346,0.0575999461,177.3013099142,0.2138829614,257,771,540,1620,0.6159805154
digits_binary,linear_poly3,short_chain_6_scale42,rescale_aware,3,3,0,0,false,39.4502967376,0.1402142813,156.3808534160,0.4928384005,257,771,540,1620,0.6159805152
digits_binary,mlp_square_linear_score,deep_chain_8_scale45,baseline_non_rescale,3,3,0,3,true,262.0842795204,0.5027854684,617.6416892284,0.4343791782,0,0,0,0,0.0000000000
digits_binary,mlp_square_linear_score,deep_chain_8_scale45,rescale_aware,3,3,0,3,true,304.3422310210,1.8443773572,631.2014467920,3.5569901045,0,0,0,0,0.0000000000
digits_binary,mlp_square_linear_score,deep_chain_9_scale45,baseline_non_rescale,3,3,0,3,true,320.6093154895,0.8033345737,714.0355604259,0.8354126261,0,0,0,0,0.0000000000
digits_binary,mlp_square_linear_score,deep_chain_9_scale45,rescale_aware,3,3,0,3,true,375.0334900599,0.2832108558,752.3372896488,0.1455636225,0,0,0,0,0.0000000000
digits_binary,mlp_square_linear_score,default,baseline_non_rescale,3,3,0,3,true,112.5682642617,0.0577661640,266.2740772253,0.1877218202,0,0,0,0,0.0000000000
digits_binary,mlp_square_linear_score,default,rescale_aware,3,3,0,3,true,129.6554218525,0.3825721547,270.1228998920,0.3444419447,0,0,0,0,0.0000000000
digits_binary,mlp_square_linear_score,scale38,baseline_non_rescale,3,3,0,3,true,112.6634017796,0.2466547343,266.7523963191,0.4474344402,0,0,0,0,0.0000000007
