split_seed,dataset_id,model_id,workload_id,id,role,candidate_id,profile_name,evaluation_mode,log_n,log_q,log_p,log_default_scale,setup_ms,arm_id,observations,decision_flips,max_y_error,mean_total_ms,median_total_ms,p95_total_ms,stddev_total_ms,iqr_total_ms,mean_eval_only_ms,median_eval_only_ms,p95_eval_only_ms,stddev_eval_only_ms,iqr_eval_only_ms
2,banknote,linear_poly3,split_seed_2/banknote/linear_poly3,catalog,bounded_catalog_oracle,deep_chain_8_scale45__rescale_aware,deep_chain_8_scale45,rescale,15,"[56, 46, 46, 46, 45, 45, 46, 45]","[56, 55]",45,215.185656,catalog,36,0,2.194272541444775e-11,481.39662319444443,460.861902,610.626717,85.17000395495275,92.187432,169.2892406111111,160.99025,249.413369,28.20985935175889,27.30547200000001
2,banknote,linear_poly3,split_seed_2/banknote/linear_poly3,reference,ckks_reference,deep_chain_8_scale45__rescale_aware,deep_chain_8_scale45,rescale,15,"[56, 46, 46, 46, 45, 45, 46, 45]","[56, 55]",45,214.281724,reference,36,0,8.723061162285717e-11,459.1500712777778,430.554571,605.387765,63.93639884983884,92.59552799999994,162.69356763888896,155.227055,210.228404,25.24668707826062,34.372074999999995
2,banknote,mlp_square_linear_score,split_seed_2/banknote/mlp_square_linear_score,direct,direct_synthesis,synth_analysis_minimum_rescale_N13_Q6_S20_ae85dc003156,synth_analysis_minimum_rescale_N13_Q6_S20_ae85dc003156,rescale,13,"[23, 20, 20, 20, 20, 20]",[30],20,54.639579,direct,36,0,0.0006364384126374412,132.56503813888892,130.410468,178.739515,24.092233185724567,33.193903000000006,82.21572380555557,78.334055,112.961658,15.89199264776839,21.819211999999993
2,banknote,mlp_square_linear_score,split_seed_2/banknote/mlp_square_linear_score,catalog,bounded_catalog_oracle,short_chain_6_scale42__baseline_non_rescale,short_chain_6_scale42,naive,14,"[56, 46, 46, 46, 45, 45]","[56, 55]",42,74.37778,catalog,36,0,1.266610705208393e-10,265.94249163888884,241.87083,403.693027,101.38316186519374,48.419771000000026,130.02840711111108,118.049767,208.816102,59.73165598484716,29.89408999999999
2,banknote,mlp_square_linear_score,split_seed_2/banknote/mlp_square_linear_score,reference,ckks_reference,deep_chain_8_scale45__rescale_aware,deep_chain_8_scale45,rescale,15,"[56, 46, 46, 46, 45, 45, 46, 45]","[56, 55]",45,168.596996,reference,36,0,1.96314631217831e-11,721.1475653888888,710.944827,912.305814,91.73669448323055,115.75722499999995,427.489621138889,406.76009700000003,585.891322,62.0034369124079,68.09821700000003
2,digits_binary,linear_poly3,split_seed_2/digits_binary/linear_poly3,direct,direct_synthesis,synth_repair_scale_1_rescale_N13_Q7_S24_0cfaae7dc904,synth_repair_scale_1_rescale_N13_Q7_S24_0cfaae7dc904,rescale,13,"[27, 24, 24, 24, 24, 24, 24]",[30],24,66.310672,direct,36,0,0.0031242803148949227,127.71701883333337,123.035273,179.380829,19.932489071142896,26.181533999999985,38.319151555555564,35.894786,63.961507,9.38569855598014,11.060476000000001
2,digits_binary,linear_poly3,split_seed_2/digits_binary/linear_poly3,catalog,bounded_catalog_oracle,deep_chain_8_scale45__rescale_aware,deep_chain_8_scale45,rescale,15,"[56, 46, 46, 46, 45, 45, 46, 45]","[56, 55]",45,264.023508,catalog,36,0,1.1475931316340393e-11,620.604712638889,605.528931,740.718231,69.93756067432143,110.90287000000001,161.703849,158.520982,208.93408,23.604379031908383,30.13726600000001
2,digits_binary,linear_poly3,split_seed_2/digits_binary/linear_poly3,reference,ckks_reference,deep_chain_8_scale45__rescale_aware,deep_chain_8_scale45,rescale,15,"[56, 46, 46, 46, 45, 45, 46, 45]","[56, 55]",45,176.555856,reference,36,0,1.6004975122996257e-12,647.9898208611112,650.361389,796.372269,88.73481320754279,132.08360399999992,167.2685186111111,163.182309,231.62575800000002,30.34617888367409,40.85924700000001
2,digits_binary,mlp_square_linear_score,split_seed_2/digits_binary/mlp_square_linear_score,direct,direct_synthesis,synth_analysis_minimum_rescale_N13_Q6_S20_6daa0c572089,synth_analysis_minimum_rescale_N13_Q6_S20_6daa0c572089,rescale,13,"[23, 20, 20, 20, 20, 20]",[30],20,49.937606,direct,36,0,1.9745501098844542e-05,154.7232748055555,149.405511,197.550406,22.065919920624598,31.430849999999992,78.97761652777781,74.60284300000001,112.295158,14.266009210013328,12.305439000000021
2,digits_binary,mlp_square_linear_score,split_seed_2/digits_binary/mlp_square_linear_score,catalog,bounded_catalog_oracle,short_chain_6_scale40__baseline_non_rescale,short_chain_6_scale40,naive,14,"[56, 46, 46, 46, 45, 45]","[56, 55]",40,72.529271,catalog,36,0,3.63351571053272e-11,287.0787982777778,277.970426,387.403307,32.48448499316987,26.66350700000004,113.83080313888887,109.015443,161.29833900000003,17.08179285340405,13.088381999999996
