split_seed,dataset_id,model_id,alpha,outcome,candidate_count,safe_count,rejected_count,failed_count,v_cert,v_amb,coverage_rate,oracle_candidate,oracle_mean_total_ms,reference_candidate,reference_mean_total_ms,oracle_speedup_vs_reference,latency_only_candidate,latency_only_status,latency_only_mean_total_ms
1,digits_binary,mlp_square_linear_score,0.1,SELECTED,22,18,4,0,256,14,0.9481481481481482,short_chain_6_scale38__baseline_non_rescale,252.9314588185,default__rescale_aware,387.3468372926,1.5314300526394962,short_chain_3__rescale_aware,REJECTED,123.1337911778
1,digits_binary,mlp_square_linear_score,0.25,SELECTED,22,18,4,0,256,14,0.9481481481481482,short_chain_6_scale38__baseline_non_rescale,252.9314588185,default__rescale_aware,387.3468372926,1.5314300526394962,short_chain_3__rescale_aware,REJECTED,123.1337911778
1,digits_binary,mlp_square_linear_score,0.5,SELECTED,22,18,4,0,256,14,0.9481481481481482,short_chain_6_scale38__baseline_non_rescale,252.9314588185,default__rescale_aware,387.3468372926,1.5314300526394962,short_chain_3__rescale_aware,REJECTED,123.1337911778
1,digits_binary,mlp_square_linear_score,0.75,SELECTED,22,18,4,0,256,14,0.9481481481481482,short_chain_6_scale38__baseline_non_rescale,252.9314588185,default__rescale_aware,387.3468372926,1.5314300526394962,short_chain_3__rescale_aware,REJECTED,123.1337911778
1,digits_binary,mlp_square_linear_score,0.9,SELECTED,22,18,4,0,256,14,0.9481481481481482,short_chain_6_scale38__baseline_non_rescale,252.9314588185,default__rescale_aware,387.3468372926,1.5314300526394962,short_chain_3__rescale_aware,REJECTED,123.1337911778
1,iris_binary,linear_poly3,0.1,SELECTED,22,12,8,2,14,0,1.0,default__rescale_aware,135.7734077857,default__rescale_aware,135.7734077857,1.0,short_chain_3__baseline_non_rescale,REJECTED,87.6945347857
1,iris_binary,linear_poly3,0.25,SELECTED,22,12,8,2,14,0,1.0,default__rescale_aware,135.7734077857,default__rescale_aware,135.7734077857,1.0,short_chain_3__baseline_non_rescale,REJECTED,87.6945347857
1,iris_binary,linear_poly3,0.5,SELECTED,22,12,8,2,14,0,1.0,default__rescale_aware,135.7734077857,default__rescale_aware,135.7734077857,1.0,short_chain_3__baseline_non_rescale,REJECTED,87.6945347857
1,iris_binary,linear_poly3,0.75,SELECTED,22,12,8,2,14,0,1.0,default__rescale_aware,135.7734077857,default__rescale_aware,135.7734077857,1.0,short_chain_3__baseline_non_rescale,REJECTED,87.6945347857
1,iris_binary,linear_poly3,0.9,SELECTED,22,12,8,2,14,0,1.0,default__rescale_aware,135.7734077857,default__rescale_aware,135.7734077857,1.0,short_chain_3__baseline_non_rescale,REJECTED,87.6945347857
1,iris_binary,mlp_square_linear_score,0.1,SELECTED,22,18,4,0,14,0,1.0,short_chain_6_scale40__baseline_non_rescale,190.761249,default__rescale_aware,233.2025695714,1.2224839729970525,short_chain_3__rescale_aware,REJECTED,86.3530242143
1,iris_binary,mlp_square_linear_score,0.25,SELECTED,22,18,4,0,14,0,1.0,short_chain_6_scale40__baseline_non_rescale,190.761249,default__rescale_aware,233.2025695714,1.2224839729970525,short_chain_3__rescale_aware,REJECTED,86.3530242143
1,iris_binary,mlp_square_linear_score,0.5,SELECTED,22,18,4,0,14,0,1.0,short_chain_6_scale40__baseline_non_rescale,190.761249,default__rescale_aware,233.2025695714,1.2224839729970525,short_chain_3__rescale_aware,REJECTED,86.3530242143
1,iris_binary,mlp_square_linear_score,0.75,SELECTED,22,18,4,0,14,0,1.0,short_chain_6_scale40__baseline_non_rescale,190.761249,default__rescale_aware,233.2025695714,1.2224839729970525,short_chain_3__rescale_aware,REJECTED,86.3530242143
1,iris_binary,mlp_square_linear_score,0.9,SELECTED,22,18,4,0,14,0,1.0,short_chain_6_scale40__baseline_non_rescale,190.761249,default__rescale_aware,233.2025695714,1.2224839729970525,short_chain_3__rescale_aware,REJECTED,86.3530242143
1,mnist_pool16,linear_poly3,0.1,SELECTED,22,12,8,2,239,10,0.9598393574297188,default__rescale_aware,328.9552492972,default__rescale_aware,328.9552492972,1.0,short_chain_3__baseline_non_rescale,REJECTED,189.1181894378
1,mnist_pool16,linear_poly3,0.25,SELECTED,22,12,8,2,239,10,0.9598393574297188,default__rescale_aware,328.9552492972,default__rescale_aware,328.9552492972,1.0,short_chain_3__baseline_non_rescale,REJECTED,189.1181894378
1,mnist_pool16,linear_poly3,0.5,SELECTED,22,12,8,2,239,10,0.9598393574297188,default__rescale_aware,328.9552492972,default__rescale_aware,328.9552492972,1.0,short_chain_3__baseline_non_rescale,REJECTED,189.1181894378
1,mnist_pool16,linear_poly3,0.75,SELECTED,22,12,8,2,239,10,0.9598393574297188,default__rescale_aware,328.9552492972,default__rescale_aware,328.9552492972,1.0,short_chain_3__baseline_non_rescale,REJECTED,189.1181894378
1,mnist_pool16,linear_poly3,0.9,SELECTED,22,12,8,2,239,10,0.9598393574297188,default__rescale_aware,328.9552492972,default__rescale_aware,328.9552492972,1.0,short_chain_3__baseline_non_rescale,REJECTED,189.1181894378
1,mnist_pool16,mlp_square_linear_score,0.1,SELECTED,22,18,4,0,246,3,0.9879518072289156,short_chain_6_scale38__baseline_non_rescale,384.1176449197,default__rescale_aware,452.2676393414,1.1774195883033356,short_chain_3__rescale_aware,REJECTED,197.8521875462
1,mnist_pool16,mlp_square_linear_score,0.25,SELECTED,22,18,4,0,246,3,0.9879518072289156,short_chain_6_scale38__baseline_non_rescale,384.1176449197,default__rescale_aware,452.2676393414,1.1774195883033356,short_chain_3__rescale_aware,REJECTED,197.8521875462
1,mnist_pool16,mlp_square_linear_score,0.5,SELECTED,22,18,4,0,246,3,0.9879518072289156,short_chain_6_scale38__baseline_non_rescale,384.1176449197,default__rescale_aware,452.2676393414,1.1774195883033356,short_chain_3__rescale_aware,REJECTED,197.8521875462
1,mnist_pool16,mlp_square_linear_score,0.75,SELECTED,22,18,4,0,246,3,0.9879518072289156,short_chain_6_scale38__baseline_non_rescale,384.1176449197,default__rescale_aware,452.2676393414,1.1774195883033356,short_chain_3__rescale_aware,REJECTED,197.8521875462
1,mnist_pool16,mlp_square_linear_score,0.9,SELECTED,22,18,4,0,246,3,0.9879518072289156,short_chain_6_scale38__baseline_non_rescale,384.1176449197,default__rescale_aware,452.2676393414,1.1774195883033356,short_chain_3__rescale_aware,REJECTED,197.8521875462
1,wdbc,linear_poly3,0.1,SELECTED,22,12,8,2,84,1,0.9882352941176471,default__rescale_aware,198.3006754588,default__rescale_aware,198.3006754588,1.0,short_chain_3__baseline_non_rescale,REJECTED,122.2486299882
1,wdbc,linear_poly3,0.25,SELECTED,22,12,8,2,84,1,0.9882352941176471,default__rescale_aware,198.3006754588,default__rescale_aware,198.3006754588,1.0,short_chain_3__baseline_non_rescale,REJECTED,122.2486299882
1,wdbc,linear_poly3,0.5,SELECTED,22,12,8,2,84,1,0.9882352941176471,default__rescale_aware,198.3006754588,default__rescale_aware,198.3006754588,1.0,short_chain_3__baseline_non_rescale,REJECTED,122.2486299882
1,wdbc,linear_poly3,0.75,SELECTED,22,12,8,2,84,1,0.9882352941176471,default__rescale_aware,198.3006754588,default__rescale_aware,198.3006754588,1.0,short_chain_3__baseline_non_rescale,REJECTED,122.2486299882
1,wdbc,linear_poly3,0.9,SELECTED,22,12,8,2,84,1,0.9882352941176471,default__rescale_aware,198.3006754588,default__rescale_aware,198.3006754588,1.0,short_chain_3__baseline_non_rescale,REJECTED,122.2486299882
1,wdbc,mlp_square_linear_score,0.1,SELECTED,22,18,4,0,81,4,0.9529411764705882,short_chain_6_scale38__baseline_non_rescale,256.8464719647,default__rescale_aware,298.9465517176,1.1639114581986008,short_chain_3__rescale_aware,REJECTED,124.7254148706
1,wdbc,mlp_square_linear_score,0.25,SELECTED,22,18,4,0,81,4,0.9529411764705882,short_chain_6_scale38__baseline_non_rescale,256.8464719647,default__rescale_aware,298.9465517176,1.1639114581986008,short_chain_3__rescale_aware,REJECTED,124.7254148706
1,wdbc,mlp_square_linear_score,0.5,SELECTED,22,18,4,0,81,4,0.9529411764705882,short_chain_6_scale38__baseline_non_rescale,256.8464719647,default__rescale_aware,298.9465517176,1.1639114581986008,short_chain_3__rescale_aware,REJECTED,124.7254148706
1,wdbc,mlp_square_linear_score,0.75,SELECTED,22,18,4,0,81,4,0.9529411764705882,short_chain_6_scale38__baseline_non_rescale,256.8464719647,default__rescale_aware,298.9465517176,1.1639114581986008,short_chain_3__rescale_aware,REJECTED,124.7254148706
1,wdbc,mlp_square_linear_score,0.9,SELECTED,22,18,4,0,81,4,0.9529411764705882,short_chain_6_scale38__baseline_non_rescale,256.8464719647,default__rescale_aware,298.9465517176,1.1639114581986008,short_chain_3__rescale_aware,REJECTED,124.7254148706
2,banknote,linear_poly3,0.1,SELECTED,22,12,8,2,205,0,1.0,default__rescale_aware,133.7534657171,default__rescale_aware,133.7534657171,1.0,short_chain_3__baseline_non_rescale,REJECTED,86.7069350634
2,banknote,linear_poly3,0.25,SELECTED,22,12,8,2,205,0,1.0,default__rescale_aware,133.7534657171,default__rescale_aware,133.7534657171,1.0,short_chain_3__baseline_non_rescale,REJECTED,86.7069350634
2,banknote,linear_poly3,0.5,SELECTED,22,12,8,2,205,0,1.0,default__rescale_aware,133.7534657171,default__rescale_aware,133.7534657171,1.0,short_chain_3__baseline_non_rescale,REJECTED,86.7069350634
2,banknote,linear_poly3,0.75,SELECTED,22,12,8,2,205,0,1.0,default__rescale_aware,133.7534657171,default__rescale_aware,133.7534657171,1.0,short_chain_3__baseline_non_rescale,REJECTED,86.7069350634
2,banknote,linear_poly3,0.9,SELECTED,22,12,8,2,205,0,1.0,default__rescale_aware,133.7534657171,default__rescale_aware,133.7534657171,1.0,short_chain_3__baseline_non_rescale,REJECTED,86.7069350634
2,banknote,mlp_square_linear_score,0.1,SELECTED,22,18,4,0,205,0,1.0,short_chain_6_scale42__baseline_non_rescale,187.3301030341,default__rescale_aware,229.4083946439,1.2246210882729318,short_chain_3__rescale_aware,REJECTED,85.0740238634
2,banknote,mlp_square_linear_score,0.25,SELECTED,22,18,4,0,205,0,1.0,short_chain_6_scale42__baseline_non_rescale,187.3301030341,default__rescale_aware,229.4083946439,1.2246210882729318,short_chain_3__rescale_aware,REJECTED,85.0740238634
2,banknote,mlp_square_linear_score,0.5,SELECTED,22,18,4,0,205,0,1.0,short_chain_6_scale42__baseline_non_rescale,187.3301030341,default__rescale_aware,229.4083946439,1.2246210882729318,short_chain_3__rescale_aware,REJECTED,85.0740238634
2,banknote,mlp_square_linear_score,0.75,SELECTED,22,18,4,0,205,0,1.0,short_chain_6_scale42__baseline_non_rescale,187.3301030341,default__rescale_aware,229.4083946439,1.2246210882729318,short_chain_3__rescale_aware,REJECTED,85.0740238634
2,banknote,mlp_square_linear_score,0.9,SELECTED,22,18,4,0,205,0,1.0,short_chain_6_scale42__baseline_non_rescale,187.3301030341,default__rescale_aware,229.4083946439,1.2246210882729318,short_chain_3__rescale_aware,REJECTED,85.0740238634
2,digits_binary,linear_poly3,0.1,SELECTED,22,12,8,2,263,7,0.9740740740740741,default__rescale_aware,197.727707363,default__rescale_aware,197.727707363,1.0,short_chain_3__baseline_non_rescale,REJECTED,118.7437970148
2,digits_binary,linear_poly3,0.25,SELECTED,22,12,8,2,263,7,0.9740740740740741,default__rescale_aware,197.727707363,default__rescale_aware,197.727707363,1.0,short_chain_3__baseline_non_rescale,REJECTED,118.7437970148
2,digits_binary,linear_poly3,0.5,SELECTED,22,12,8,2,263,7,0.9740740740740741,default__rescale_aware,197.727707363,default__rescale_aware,197.727707363,1.0,short_chain_3__baseline_non_rescale,REJECTED,118.7437970148
2,digits_binary,linear_poly3,0.75,SELECTED,22,12,8,2,263,7,0.9740740740740741,default__rescale_aware,197.727707363,default__rescale_aware,197.727707363,1.0,short_chain_3__baseline_non_rescale,REJECTED,118.7437970148
