population,split_seed,dataset_id,model_id,stage,candidate_id,status,margin,absolute_error,margin_utilization_ratio,margin_utilization_cap,reserved_margin_fraction,operational_acceptance_budget,observed_decision_preserved,reserve_policy_pass,policy_reject_without_flip,minimum_cap_required,decision_flips,error_violations,observation_binding,source_sha256
confirmatory_seeds1_4,1,mnist_pool16,linear_poly3,locked_audit,synth_repair_scale_1_rescale_N13_Q7_S24_fe527e522ab1,SAFE,0.0012595531745684951,0.006696836264883155,0.08655988054860712,0.5,0.5,0.0006297765872842476,True,True,False,0.08655988054860712,0,0,aggregate_extrema_not_sample_bound,sha256:aaff9b5f3ba4e1cff0dc7cb91d1cb37750587b5e6aed52cdd06a656a5dd82e65
confirmatory_seeds1_4,1,mnist_pool16,mlp_square_linear_score,configuration_validation,synth_analysis_minimum_rescale_N13_Q6_S20_50bd4edef1ef,SAFE,0.0010712082601815887,0.00010136890794637532,0.041381112232558595,0.5,0.5,0.0005356041300907943,True,True,False,0.041381112232558595,0,0,aggregate_extrema_not_sample_bound,sha256:e00b4e2ccba347033fb944fa5d10803d7c7fc02ced9a6917fad767b01a85d593
confirmatory_seeds1_4,1,mnist_pool16,mlp_square_linear_score,locked_audit,synth_analysis_minimum_rescale_N13_Q6_S20_50bd4edef1ef,SAFE,0.0010423414147401888,0.00032254179524815463,0.16066738691526433,0.5,0.5,0.0005211707073700944,True,True,False,0.16066738691526433,0,0,aggregate_extrema_not_sample_bound,sha256:08898a1727508ee0586dfa5393662a165a959be16785f5c08a35e58ae2ffe23b
confirmatory_seeds1_4,1,wdbc,linear_poly3,configuration_validation,synth_repair_scale_1_rescale_N13_Q7_S24_33a9db1442a2,SAFE,0.001463626481787328,0.013547243991840291,0.10001046300582943,0.5,0.5,0.000731813240893664,True,True,False,0.10001046300582943,0,0,aggregate_extrema_not_sample_bound,sha256:f83ebd8482eb1112d86d2896edb8fc06a5b8686393bc641db54455baef85e621
confirmatory_seeds1_4,1,wdbc,linear_poly3,locked_audit,synth_repair_scale_1_rescale_N13_Q7_S24_33a9db1442a2,SAFE,0.0017179971153420404,0.008895889309472549,0.08067382653367178,0.5,0.5,0.0008589985576710202,True,True,False,0.08067382653367178,0,0,aggregate_extrema_not_sample_bound,sha256:6202a32fea0111617c0c02eb96bca563dc0627263a969494a4411897c3792f31
confirmatory_seeds1_4,1,wdbc,mlp_square_linear_score,configuration_validation,synth_analysis_minimum_rescale_N13_Q6_S20_c1382206c90a,SAFE,0.0014499077581359154,0.0001560062463182299,0.025724478105618995,0.5,0.5,0.0007249538790679577,True,True,False,0.025724478105618995,0,0,aggregate_extrema_not_sample_bound,sha256:3358efc7ee46ef58976710d91d618e8be892b5db6dd8d92d86c45747c5850452
confirmatory_seeds1_4,1,wdbc,mlp_square_linear_score,locked_audit,synth_analysis_minimum_rescale_N13_Q6_S20_c1382206c90a,SAFE,0.0012942465398142478,0.0003442791976343007,0.07448174060081002,0.5,0.5,0.0006471232699071239,True,True,False,0.07448174060081002,0,0,aggregate_extrema_not_sample_bound,sha256:4bbdf425294006a8c4ae38ce442bdebff1cb9a80710f48e05ad77522b96b3616
confirmatory_seeds1_4,2,banknote,linear_poly3,configuration_validation,synth_repair_scale_1_rescale_N13_Q7_S24_61531b023e5c,SAFE,0.004312115264032301,0.007747332511232052,0.06080681835700456,0.5,0.5,0.0021560576320161506,True,True,False,0.06080681835700456,0,0,aggregate_extrema_not_sample_bound,sha256:fd236050e98927a175f640cb8e78b982a91cbc9187555ca00d1d45fda8b6e1e7
confirmatory_seeds1_4,2,banknote,linear_poly3,locked_audit,synth_repair_scale_1_rescale_N13_Q7_S24_61531b023e5c,SAFE,0.004312115264032301,0.007099397652052253,0.05233237644546765,0.5,0.5,0.0021560576320161506,True,True,False,0.05233237644546765,0,0,aggregate_extrema_not_sample_bound,sha256:23f7ce25b566472de3f1dff1bb1fb829d30d33aaf2a9f89462209c0126512d7a
confirmatory_seeds1_4,2,banknote,mlp_square_linear_score,configuration_validation,synth_analysis_minimum_rescale_N13_Q6_S20_ae85dc003156,SAFE,0.012219452991614865,0.0008574105012214561,0.02773851710909455,0.5,0.5,0.006109726495807433,True,True,False,0.02773851710909455,0,0,aggregate_extrema_not_sample_bound,sha256:cee06c18e43c006ae96063e69d556031fa67b85da53dc94a6e6d968fc9a72987
confirmatory_seeds1_4,2,banknote,mlp_square_linear_score,locked_audit,synth_analysis_minimum_rescale_N13_Q6_S20_ae85dc003156,SAFE,0.014986254930975829,0.0008993484578324606,0.029779728118849748,0.5,0.5,0.007493127465487914,True,True,False,0.029779728118849748,0,0,aggregate_extrema_not_sample_bound,sha256:66502d9a74f791a100e09497b5c4295dd36562a5176b069ea737d9b8b9e00963
confirmatory_seeds1_4,2,digits_binary,linear_poly3,configuration_validation,synth_repair_scale_1_rescale_N13_Q7_S24_0cfaae7dc904,SAFE,0.0012807856058005274,0.003944554000210099,0.09571280740804744,0.5,0.5,0.0006403928029002637,True,True,False,0.09571280740804744,0,0,aggregate_extrema_not_sample_bound,sha256:cd857fc4883955856a339ffad8df1af671b8e4f249697fd0de2411eacb4ac0f0
confirmatory_seeds1_4,2,digits_binary,linear_poly3,locked_audit,synth_repair_scale_1_rescale_N13_Q7_S24_0cfaae7dc904,SAFE,0.0010907862649077171,0.005102827830949619,0.10761490599635426,0.5,0.5,0.0005453931324538586,True,True,False,0.10761490599635426,0,0,aggregate_extrema_not_sample_bound,sha256:02e5ec9f53cc40868f4f9c69af541054dbeccc7508203815637e2dc1d4989780
confirmatory_seeds1_4,2,digits_binary,mlp_square_linear_score,configuration_validation,synth_analysis_minimum_rescale_N13_Q6_S20_6daa0c572089,SAFE,0.0010817967078887714,0.00013598564889771847,0.05081843986018189,0.5,0.5,0.0005408983539443857,True,True,False,0.05081843986018189,0,0,aggregate_extrema_not_sample_bound,sha256:2a7e9f7bec6d9618ef597887090738604d248d57a24df1ee8f7c643b321d390c
confirmatory_seeds1_4,2,digits_binary,mlp_square_linear_score,locked_audit,synth_analysis_minimum_rescale_N13_Q6_S20_6daa0c572089,SAFE,0.0010321653256446517,0.0001370774902996752,0.02602201673654612,0.5,0.5,0.0005160826628223258,True,True,False,0.02602201673654612,0,0,aggregate_extrema_not_sample_bound,sha256:474932547e664d0a6641f9e49cb9b7f2d6c0df3c0840b0e67042da008d31181d
confirmatory_seeds1_4,2,iris_binary,linear_poly3,configuration_validation,synth_analysis_minimum_rescale_N13_Q7_S20_c4b82febb405,SAFE,0.054808789627047605,0.01598786894043014,0.2292597176591174,0.5,0.5,0.027404394813523802,True,True,False,0.2292597176591174,0,0,aggregate_extrema_not_sample_bound,sha256:61dbeddb3e0a40654dc29b866394ae36b1906fdae69a310434f5e4e941647f4f
confirmatory_seeds1_4,2,iris_binary,linear_poly3,locked_audit,synth_analysis_minimum_rescale_N13_Q7_S20_c4b82febb405,SAFE,0.06514684301781704,0.015090827042695376,0.2215432713560969,0.5,0.5,0.03257342150890852,True,True,False,0.2215432713560969,0,0,aggregate_extrema_not_sample_bound,sha256:63ded9bd8452c1b1bf1e3c7ebb1facd95aa4255f677ffd0bf8efc2728777a4c6
confirmatory_seeds1_4,2,iris_binary,mlp_square_linear_score,configuration_validation,synth_analysis_minimum_rescale_N13_Q6_S20_dc1a3cbfb69d,SAFE,0.06930386021944213,0.0006174198139002884,0.005982547841744943,0.5,0.5,0.03465193010972106,True,True,False,0.005982547841744943,0,0,aggregate_extrema_not_sample_bound,sha256:90b29272a172773165a33cf71e98cd9325fb34219226b5b1a8b16c8c450c6649
confirmatory_seeds1_4,2,iris_binary,mlp_square_linear_score,locked_audit,synth_analysis_minimum_rescale_N13_Q6_S20_dc1a3cbfb69d,SAFE,0.07969084515683567,0.00028108574850937984,0.0029974640191048753,0.5,0.5,0.03984542257841783,True,True,False,0.0029974640191048753,0,0,aggregate_extrema_not_sample_bound,sha256:f7b5978d5aecfeb609e5159231109a02ce6e8a5299f5f9f99ff7d25299ddcefe
confirmatory_seeds1_4,2,mnist_pool16,linear_poly3,configuration_validation,synth_repair_scale_1_rescale_N13_Q7_S24_be96916cb331,SAFE,0.0011868140183747822,0.006704728427441187,0.10677259093768963,0.5,0.5,0.0005934070091873911,True,True,False,0.10677259093768963,0,0,aggregate_extrema_not_sample_bound,sha256:87d29fb70c243f038c521ce108467f99fc51ca0b6d995ea84c4c5430b5dc91da
confirmatory_seeds1_4,2,mnist_pool16,linear_poly3,locked_audit,synth_repair_scale_1_rescale_N13_Q7_S24_be96916cb331,SAFE,0.0012595531745684951,0.005939969467915307,0.1627832760650209,0.5,0.5,0.0006297765872842476,True,True,False,0.1627832760650209,0,0,aggregate_extrema_not_sample_bound,sha256:13c6145a57a0431db2d6a2829a6326a1ed5e08d8cf247c191e531ec5cdde3dda
confirmatory_seeds1_4,2,mnist_pool16,mlp_square_linear_score,configuration_validation,synth_analysis_minimum_rescale_N13_Q6_S20_88d5d5e14224,SAFE,0.0010712082601815887,0.00043186323464716736,0.07858639506873016,0.5,0.5,0.0005356041300907943,True,True,False,0.07858639506873016,0,0,aggregate_extrema_not_sample_bound,sha256:fc431ea96f52806e30fa6e90f5c85e985f578d1c8390a71fdc99c03c94f75b21
