split_seed,dataset_id,model_id,candidate_id,profile,path,evaluation_mode,alpha,certificate_status,run_status,exit_code,sample_count,v_cert,v_amb,coverage_rate,margin_floor,decision_flips_v_cert,error_violations_v_cert,max_y_error_v_cert,mean_total_ms,median_total_ms,p95_total_ms,mean_eval_only_ms,run_tag
2,wdbc,mlp_square_linear_score,short_chain_3__rescale_aware,short_chain_3,rescale_aware,rescale,0.5,REJECTED,ok,0,85,82,3,0.9647058823529412,0.001,51,81,0.513300305,119.4308515647,117.48148,127.851335,55.5547711529,thesisv1_full_seed2_wdbc_mlp_square_linear_score_short_chain_3_rescale_aware
3,banknote,linear_poly3,short_chain_3__baseline_non_rescale,short_chain_3,baseline_non_rescale,naive,0.5,REJECTED,ok,0,205,205,0,1.0,0.001,94,205,0.6105700009,88.8532906,87.724798,98.4588754,22.8716337073,thesisv1_full_seed3_banknote_linear_poly3_short_chain_3_baseline_non_rescale
3,banknote,linear_poly3,short_chain_3__rescale_aware,short_chain_3,rescale_aware,rescale,0.5,FAILED,failed,1,205,205,0,1.0,0.001,,,,,,,,thesisv1_full_seed3_banknote_linear_poly3_short_chain_3_rescale_aware
3,banknote,mlp_square_linear_score,short_chain_3__baseline_non_rescale,short_chain_3,baseline_non_rescale,naive,0.5,REJECTED,ok,0,205,205,0,1.0,0.001,91,205,0.6212435602,119.8285538439,115.598156,131.1581184,51.1681818634,thesisv1_full_seed3_banknote_mlp_square_linear_score_short_chain_3_baseline_non_rescale
3,banknote,mlp_square_linear_score,short_chain_3__rescale_aware,short_chain_3,rescale_aware,rescale,0.5,REJECTED,ok,0,205,205,0,1.0,0.001,91,205,0.6212435602,86.6319519415,85.540038,96.9707162,52.4812176049,thesisv1_full_seed3_banknote_mlp_square_linear_score_short_chain_3_rescale_aware
3,digits_binary,linear_poly3,short_chain_3__baseline_non_rescale,short_chain_3,baseline_non_rescale,naive,0.5,REJECTED,ok,0,270,266,4,0.9851851851851852,0.001,124,266,0.6159805173,125.5101120852,122.239364,140.7875097,24.8383467,thesisv1_full_seed3_digits_binary_linear_poly3_short_chain_3_baseline_non_rescale
3,digits_binary,linear_poly3,short_chain_3__rescale_aware,short_chain_3,rescale_aware,rescale,0.5,FAILED,failed,1,270,266,4,0.9851851851851852,0.001,,,,,,,,thesisv1_full_seed3_digits_binary_linear_poly3_short_chain_3_rescale_aware
3,digits_binary,mlp_square_linear_score,short_chain_3__baseline_non_rescale,short_chain_3,baseline_non_rescale,naive,0.5,REJECTED,ok,0,270,254,16,0.9407407407407408,0.001,123,254,0.5376840693,157.5064359148,153.8447285,179.23218895,55.9999576444,thesisv1_full_seed3_digits_binary_mlp_square_linear_score_short_chain_3_baseline_non_rescale
3,digits_binary,mlp_square_linear_score,short_chain_3__rescale_aware,short_chain_3,rescale_aware,rescale,0.5,REJECTED,ok,0,270,254,16,0.9407407407407408,0.001,123,254,0.5376840693,125.3429702963,122.8155985,139.89620755,58.8692339296,thesisv1_full_seed3_digits_binary_mlp_square_linear_score_short_chain_3_rescale_aware
3,iris_binary,linear_poly3,short_chain_3__baseline_non_rescale,short_chain_3,baseline_non_rescale,naive,0.5,REJECTED,ok,0,14,14,0,1.0,0.001,7,14,0.6938779067,104.1835099286,97.102546,149.2869539,27.174923,thesisv1_full_seed3_iris_binary_linear_poly3_short_chain_3_baseline_non_rescale
3,iris_binary,linear_poly3,short_chain_3__rescale_aware,short_chain_3,rescale_aware,rescale,0.5,FAILED,failed,1,14,14,0,1.0,0.001,,,,,,,,thesisv1_full_seed3_iris_binary_linear_poly3_short_chain_3_rescale_aware
