pair_id,sample_id,source_index,label,repetitions,geometric_mean_total_ratio,geometric_mean_eval_ratio
catalog_over_gap_aware,mnist_68648,68648,2,18,2.0124914914832983,1.9681924517515152
catalog_over_gap_aware,mnist_68346,68346,3,18,1.9682978994891338,1.9247789095060162
catalog_over_gap_aware,mnist_60923,60923,3,18,1.9951793351961946,1.9427811465445672
catalog_over_gap_aware,mnist_69656,69656,3,18,1.9813518379651618,1.9345897775799654
catalog_over_gap_aware,mnist_62924,62924,3,18,1.9764210369572297,1.931395002698796
catalog_over_gap_aware,mnist_64288,64288,3,18,1.9717484535717626,1.9240206752081763
catalog_over_gap_aware,mnist_60323,60323,3,18,1.987557331525103,1.9509909168451867
catalog_over_gap_aware,mnist_68570,68570,3,18,1.9859973458954328,1.9443564817479624
catalog_over_gap_aware,mnist_62921,62921,3,18,1.995927033546165,1.9446163799580107
catalog_over_gap_aware,mnist_60792,60792,3,18,1.9780049081178301,1.926369281576588
catalog_over_gap_aware,mnist_64983,64983,3,18,1.9949314789188188,1.9470129654236759
catalog_over_gap_aware,mnist_60544,60544,4,18,1.969197736947445,1.9339873481468257
catalog_over_gap_aware,mnist_62901,62901,4,18,1.9875003850636166,1.947645441092001
catalog_over_gap_aware,mnist_65822,65822,4,18,1.9825329569774215,1.9250508976560197
catalog_over_gap_aware,mnist_68695,68695,4,18,1.9814366638372738,1.9434702759745723
catalog_over_gap_aware,mnist_61511,61511,4,18,1.9968047885580857,1.9490604980137711
catalog_over_gap_aware,mnist_67751,67751,4,18,1.986581075499332,1.9514040504056114
catalog_over_gap_aware,mnist_62363,62363,4,18,1.9791495266725738,1.9324145948940843
catalog_over_gap_aware,mnist_68092,68092,4,18,1.9785404935694326,1.9326630903261277
catalog_over_gap_aware,mnist_68081,68081,4,18,1.9684778428258145,1.9300709189886
catalog_over_gap_aware,mnist_65842,65842,4,18,1.9911503800273036,1.9507063062164915
catalog_over_gap_aware,mnist_67372,67372,5,18,1.964913728905963,1.9186505106210976
catalog_over_gap_aware,mnist_69583,69583,5,18,1.9585892543660972,1.9036095335597998
catalog_over_gap_aware,mnist_62768,62768,5,18,1.9760843564356316,1.9301161313230768
catalog_over_gap_aware,mnist_66244,66244,5,18,1.9885135897031299,1.946167723141049
catalog_over_gap_aware,mnist_66390,66390,5,18,1.9790733530067264,1.9412182000515377
catalog_over_gap_aware,mnist_67988,67988,5,18,1.965918341883779,1.9233009232430176
catalog_over_gap_aware,mnist_61340,61340,5,18,1.9718057444074863,1.928324062418688
catalog_over_gap_aware,mnist_61370,61370,5,18,1.9753489486886393,1.9289761014162827
catalog_over_gap_aware,mnist_61598,61598,5,18,1.9828658659437894,1.9340458946541061
catalog_over_gap_aware,mnist_60052,60052,5,18,1.975065854724936,1.9299141926804078
catalog_over_gap_aware,mnist_69240,69240,6,18,1.9818024720623746,1.9324239281876812
catalog_over_gap_aware,mnist_61017,61017,6,18,1.971021900500719,1.9348427933179158
catalog_over_gap_aware,mnist_63914,63914,6,18,1.988905986927691,1.9501212432101558
catalog_over_gap_aware,mnist_62422,62422,6,18,1.9892262024809149,1.9549198767844407
catalog_over_gap_aware,mnist_60732,60732,6,18,1.9730355609751271,1.9317023807071145
catalog_over_gap_aware,mnist_64388,64388,6,18,1.980370803739843,1.9350097092681635
catalog_over_gap_aware,mnist_61332,61332,6,18,1.982908061540916,1.941386860107494
catalog_over_gap_aware,mnist_67816,67816,6,18,1.9791835228168884,1.9402297344048476
catalog_over_gap_aware,mnist_60973,60973,6,18,1.9760164532682623,1.9286448037482473
catalog_over_gap_aware,mnist_64699,64699,6,18,1.9775355944445192,1.932916733192894
catalog_over_gap_aware,mnist_61175,61175,7,18,1.9929055310769899,1.9615948590740453
catalog_over_gap_aware,mnist_68497,68497,7,18,1.9791875019391596,1.9380825978897458
catalog_over_gap_aware,mnist_61216,61216,7,18,1.9881204937735302,1.955717428029337
catalog_over_gap_aware,mnist_66986,66986,7,18,1.987653717769992,1.947310680465011
catalog_over_gap_aware,mnist_64736,64736,7,18,1.95807940396321,1.9017098908760701
catalog_over_gap_aware,mnist_62317,62317,7,18,1.9878479834748117,1.954187912465243
catalog_over_gap_aware,mnist_67230,67230,7,18,1.978030973317402,1.9388474531645248
catalog_over_gap_aware,mnist_69340,69340,7,18,1.9616402209524735,1.9194867657223207
catalog_over_gap_aware,mnist_68110,68110,7,18,1.9814753312197702,1.9370624038397015
catalog_over_gap_aware,mnist_67614,67614,7,18,1.9799006938666115,1.9529076967635532
catalog_over_gap_aware,mnist_63153,63153,8,18,1.9757232744397375,1.931940452218447
catalog_over_gap_aware,mnist_62744,62744,8,18,1.972036248248817,1.9245948200719138
catalog_over_gap_aware,mnist_65041,65041,8,18,1.9829867369026455,1.9430247908174867
catalog_over_gap_aware,mnist_63348,63348,8,18,1.9846144580552614,1.9549425609184161
catalog_over_gap_aware,mnist_66826,66826,8,18,1.992523652965082,1.947355782318719
catalog_over_gap_aware,mnist_65288,65288,8,18,1.9671784120827314,1.9203939401402348
catalog_over_gap_aware,mnist_60177,60177,8,18,1.9629464791534583,1.9153958921852656
catalog_over_gap_aware,mnist_64429,64429,8,18,1.980608258587398,1.9406083924552668
catalog_over_gap_aware,mnist_64750,64750,8,18,1.9831308372650631,1.9339989904388526
catalog_over_gap_aware,mnist_69116,69116,8,18,1.982813754297005,1.942491958885545
catalog_over_gap_aware,mnist_68084,68084,9,18,1.9679348112897295,1.9264665815129154
catalog_over_gap_aware,mnist_62769,62769,9,18,1.9904961080908254,1.951162292722611
catalog_over_gap_aware,mnist_64016,64016,9,18,1.9764080530618573,1.9353039155633616
catalog_over_gap_aware,mnist_61553,61553,9,18,2.0007199482795497,1.9502892191461445
catalog_over_gap_aware,mnist_61255,61255,9,18,1.9845391127071983,1.9470066193751443
catalog_over_gap_aware,mnist_65856,65856,9,18,1.9800351884039147,1.946822819998947
catalog_over_gap_aware,mnist_67107,67107,9,18,2.0001592367990177,1.9540308090336416
catalog_over_gap_aware,mnist_66747,66747,9,18,1.9709596581698627,1.9248441669195946
catalog_over_gap_aware,mnist_64224,64224,9,18,1.9781883713813204,1.941883614822042
catalog_over_gap_aware,mnist_62341,62341,9,18,1.9931190430083512,1.9538795142055212
