population,split_seed,dataset_id,model_id,workload_id,direct_candidate_id,catalog_candidate_id,catalog_over_direct_total_ratio,catalog_over_direct_eval_only_ratio,paired_raw_observations
combined_descriptive,1,banknote,mlp_square_linear_score,split_seed_1/banknote/mlp_square_linear_score,synth_analysis_minimum_rescale_N13_Q6_S20_87eb4549e3bd,short_chain_6_scale38__baseline_non_rescale,1.915707978584788,1.4619637375492154,36
combined_descriptive,1,digits_binary,linear_poly3,split_seed_1/digits_binary/linear_poly3,synth_repair_scale_1_rescale_N13_Q7_S24_b766b1f184e7,deep_chain_8_scale45__rescale_aware,4.9892120278524255,4.381437070557485,36
combined_descriptive,1,digits_binary,mlp_square_linear_score,split_seed_1/digits_binary/mlp_square_linear_score,synth_analysis_minimum_rescale_N13_Q6_S20_d5a26d9ac7cc,short_chain_6_scale38__baseline_non_rescale,1.9074250966253767,1.5225811711869102,36
combined_descriptive,1,iris_binary,linear_poly3,split_seed_1/iris_binary/linear_poly3,synth_analysis_minimum_rescale_N13_Q7_S20_d2d0b13c1583,deep_chain_8_scale45__rescale_aware,5.220431200556882,4.624161246780258,36
combined_descriptive,1,iris_binary,mlp_square_linear_score,split_seed_1/iris_binary/mlp_square_linear_score,synth_analysis_minimum_rescale_N13_Q6_S20_a26fec41a3b2,short_chain_6_scale40__baseline_non_rescale,1.850580832747875,1.4354640411239419,36
combined_descriptive,1,mnist_pool16,linear_poly3,split_seed_1/mnist_pool16/linear_poly3,synth_repair_scale_1_rescale_N13_Q7_S24_fe527e522ab1,deep_chain_8_scale45__rescale_aware,4.9395178417384145,4.726350951952355,36
combined_descriptive,1,mnist_pool16,mlp_square_linear_score,split_seed_1/mnist_pool16/mlp_square_linear_score,synth_analysis_minimum_rescale_N13_Q6_S20_50bd4edef1ef,short_chain_6_scale38__baseline_non_rescale,1.8846703706665708,1.477243275357948,36
combined_descriptive,1,wdbc,linear_poly3,split_seed_1/wdbc/linear_poly3,synth_repair_scale_1_rescale_N13_Q7_S24_33a9db1442a2,deep_chain_8_scale45__rescale_aware,5.007447606525853,4.622775863851923,36
combined_descriptive,1,wdbc,mlp_square_linear_score,split_seed_1/wdbc/mlp_square_linear_score,synth_analysis_minimum_rescale_N13_Q6_S20_c1382206c90a,short_chain_6_scale38__baseline_non_rescale,1.9485162584060651,1.531202294648372,36
combined_descriptive,2,banknote,linear_poly3,split_seed_2/banknote/linear_poly3,synth_repair_scale_1_rescale_N13_Q7_S24_61531b023e5c,deep_chain_8_scale45__rescale_aware,5.3958283545020524,4.933417655828044,36
combined_descriptive,2,banknote,mlp_square_linear_score,split_seed_2/banknote/mlp_square_linear_score,synth_analysis_minimum_rescale_N13_Q6_S20_ae85dc003156,short_chain_6_scale42__baseline_non_rescale,1.9550490187752907,1.523629897662614,36
combined_descriptive,2,digits_binary,linear_poly3,split_seed_2/digits_binary/linear_poly3,synth_repair_scale_1_rescale_N13_Q7_S24_0cfaae7dc904,deep_chain_8_scale45__rescale_aware,4.884304545260313,4.285988806828566,36
combined_descriptive,2,digits_binary,mlp_square_linear_score,split_seed_2/digits_binary/mlp_square_linear_score,synth_analysis_minimum_rescale_N13_Q6_S20_6daa0c572089,short_chain_6_scale40__baseline_non_rescale,1.8624359143689753,1.4479578245646962,36
combined_descriptive,2,iris_binary,linear_poly3,split_seed_2/iris_binary/linear_poly3,synth_analysis_minimum_rescale_N13_Q7_S20_c4b82febb405,deep_chain_8_scale45__rescale_aware,5.395566300180975,4.875507936447483,36
combined_descriptive,2,iris_binary,mlp_square_linear_score,split_seed_2/iris_binary/mlp_square_linear_score,synth_analysis_minimum_rescale_N13_Q6_S20_dc1a3cbfb69d,short_chain_6_scale40__baseline_non_rescale,1.8834870766442366,1.42699108074438,36
combined_descriptive,2,mnist_pool16,linear_poly3,split_seed_2/mnist_pool16/linear_poly3,synth_repair_scale_1_rescale_N13_Q7_S24_be96916cb331,deep_chain_8_scale45__rescale_aware,5.031092491993909,4.488830091687657,36
combined_descriptive,2,mnist_pool16,mlp_square_linear_score,split_seed_2/mnist_pool16/mlp_square_linear_score,synth_analysis_minimum_rescale_N13_Q6_S20_88d5d5e14224,short_chain_6_scale38__baseline_non_rescale,1.9340185105577485,1.5183115850483195,36
combined_descriptive,2,wdbc,linear_poly3,split_seed_2/wdbc/linear_poly3,synth_repair_scale_1_rescale_N13_Q7_S24_5a043e5c51af,deep_chain_8_scale45__rescale_aware,5.311807466905127,4.643515555369822,36
combined_descriptive,2,wdbc,mlp_square_linear_score,split_seed_2/wdbc/mlp_square_linear_score,synth_analysis_minimum_rescale_N13_Q6_S20_67109d0703c5,short_chain_6_scale38__baseline_non_rescale,1.9035190448232717,1.5104576609877194,36
combined_descriptive,3,banknote,linear_poly3,split_seed_3/banknote/linear_poly3,synth_repair_scale_1_rescale_N13_Q7_S24_56aff076a560,deep_chain_8_scale45__rescale_aware,5.258382695310359,4.676224048378274,36
combined_descriptive,3,banknote,mlp_square_linear_score,split_seed_3/banknote/mlp_square_linear_score,synth_analysis_minimum_rescale_N13_Q6_S20_2c2da9a3eae1,short_chain_6_scale42__baseline_non_rescale,1.9341239894773623,1.4983550155557623,36
combined_descriptive,3,digits_binary,linear_poly3,split_seed_3/digits_binary/linear_poly3,synth_repair_scale_1_rescale_N13_Q7_S24_9887de80bbf2,deep_chain_8_scale45__rescale_aware,4.768153266251525,4.332052155628431,36
combined_descriptive,3,digits_binary,mlp_square_linear_score,split_seed_3/digits_binary/mlp_square_linear_score,synth_analysis_minimum_rescale_N13_Q6_S20_2195a085d6b4,short_chain_6_scale42__baseline_non_rescale,1.9819948204733853,1.5336483745855694,36
combined_descriptive,3,iris_binary,linear_poly3,split_seed_3/iris_binary/linear_poly3,synth_analysis_minimum_rescale_N13_Q7_S20_03498e744ec6,deep_chain_8_scale45__rescale_aware,5.4106714389699,4.820339266411905,36
combined_descriptive,3,iris_binary,mlp_square_linear_score,split_seed_3/iris_binary/mlp_square_linear_score,synth_analysis_minimum_rescale_N13_Q6_S20_207988c02d8a,short_chain_6_scale40__baseline_non_rescale,1.8679315146753583,1.4210744879448671,36
combined_descriptive,3,mnist_pool16,linear_poly3,split_seed_3/mnist_pool16/linear_poly3,synth_repair_scale_1_rescale_N13_Q7_S24_c0a75243c434,deep_chain_8_scale45__rescale_aware,4.824864299054827,4.135801869014877,36
combined_descriptive,3,mnist_pool16,mlp_square_linear_score,split_seed_3/mnist_pool16/mlp_square_linear_score,synth_analysis_minimum_rescale_N13_Q6_S20_615f05f131da,short_chain_6_scale42__baseline_non_rescale,1.9580082780551291,1.5305312495293926,36
combined_descriptive,3,wdbc,linear_poly3,split_seed_3/wdbc/linear_poly3,synth_repair_scale_1_rescale_N13_Q7_S24_862b7b7caaa4,deep_chain_8_scale45__rescale_aware,5.16934749540706,4.342201421629257,36
combined_descriptive,3,wdbc,mlp_square_linear_score,split_seed_3/wdbc/mlp_square_linear_score,synth_analysis_minimum_rescale_N13_Q6_S20_452d20eed652,short_chain_6_scale38__baseline_non_rescale,1.9848978432880795,1.5072322917843037,36
combined_descriptive,4,banknote,linear_poly3,split_seed_4/banknote/linear_poly3,synth_repair_scale_1_rescale_N13_Q7_S24_e80473fbb570,deep_chain_8_scale45__rescale_aware,5.405281588856681,5.041868958580853,36
combined_descriptive,4,banknote,mlp_square_linear_score,split_seed_4/banknote/mlp_square_linear_score,synth_analysis_minimum_rescale_N13_Q6_S20_0bd8533b1127,short_chain_6_scale38__baseline_non_rescale,1.9805414616508554,1.541715992433978,36
combined_descriptive,4,digits_binary,linear_poly3,split_seed_4/digits_binary/linear_poly3,synth_repair_scale_1_rescale_N13_Q7_S24_6fa2713d3e0a,deep_chain_8_scale45__rescale_aware,4.956406010944828,4.459711900546994,36
combined_descriptive,4,digits_binary,mlp_square_linear_score,split_seed_4/digits_binary/mlp_square_linear_score,synth_analysis_minimum_rescale_N13_Q6_S20_d7df5358bf41,short_chain_6_scale42__baseline_non_rescale,1.9911350815304332,1.5939837712021203,36
combined_descriptive,4,iris_binary,linear_poly3,split_seed_4/iris_binary/linear_poly3,synth_analysis_minimum_rescale_N13_Q7_S20_157c7f3b52c3,deep_chain_8_scale45__rescale_aware,4.983055110983771,4.3508534505872065,36
combined_descriptive,4,iris_binary,mlp_square_linear_score,split_seed_4/iris_binary/mlp_square_linear_score,synth_analysis_minimum_rescale_N13_Q6_S20_0b567c0ee21f,short_chain_6_scale40__baseline_non_rescale,1.9408363997825013,1.4920446592072285,36
combined_descriptive,4,mnist_pool16,linear_poly3,split_seed_4/mnist_pool16/linear_poly3,synth_repair_scale_1_rescale_N13_Q7_S24_d2e82633aee4,deep_chain_8_scale45__rescale_aware,4.864445059771666,4.47563433346062,36
combined_descriptive,4,mnist_pool16,mlp_square_linear_score,split_seed_4/mnist_pool16/mlp_square_linear_score,synth_analysis_minimum_rescale_N13_Q6_S20_360cb2bcb6ae,short_chain_6_scale42__baseline_non_rescale,2.026305385276854,1.6226832589796063,36
combined_descriptive,4,wdbc,linear_poly3,split_seed_4/wdbc/linear_poly3,synth_repair_scale_1_rescale_N13_Q7_S24_4bbcda4a66ae,deep_chain_8_scale45__rescale_aware,4.878203876532585,4.457662074587255,36
combined_descriptive,4,wdbc,mlp_square_linear_score,split_seed_4/wdbc/mlp_square_linear_score,synth_analysis_minimum_rescale_N13_Q6_S20_040942fa820d,short_chain_6_scale40__baseline_non_rescale,1.9913886535421363,1.583653971802381,36
